Tag Name,Value,Timestamp
PT003_CompIn-barg,52.17139,23 Apr 2018 18:09:37:976  
PT003_CompIn-barg,52.17139,23 Apr 2018 18:09:38:221  
PT003_CompIn-barg,52.16452,23 Apr 2018 18:09:38:465  
PT003_CompIn-barg,52.16223,23 Apr 2018 18:09:38:722  
PT003_CompIn-barg,52.16452,23 Apr 2018 18:09:38:967  
PT003_CompIn-barg,53.155582,23 Apr 2018 18:09:39:219  
PT003_CompIn-barg,52.33618,23 Apr 2018 18:09:39:478  
PT003_CompIn-barg,52.352203,23 Apr 2018 18:09:39:723  
PT003_CompIn-barg,52.450626,23 Apr 2018 18:09:39:970  
PT003_CompIn-barg,52.40485,23 Apr 2018 18:09:40:231  
PT003_CompIn-barg,52.39798,23 Apr 2018 18:09:40:472  
PT003_CompIn-barg,52.38654,23 Apr 2018 18:09:40:717  
PT003_CompIn-barg,52.37967,23 Apr 2018 18:09:40:979  
PT003_CompIn-barg,52.372803,23 Apr 2018 18:09:41:223  
PT003_CompIn-barg,52.36823,23 Apr 2018 18:09:41:470  
PT003_CompIn-barg,52.36365,23 Apr 2018 18:09:41:728  
PT003_CompIn-barg,52.36136,23 Apr 2018 18:09:41:975  
PT003_CompIn-barg,52.354492,23 Apr 2018 18:09:42:222  
PT003_CompIn-barg,52.347626,23 Apr 2018 18:09:42:479  
PT003_CompIn-barg,52.340763,23 Apr 2018 18:09:42:723  
PT003_CompIn-barg,52.33847,23 Apr 2018 18:09:42:968  
PT003_CompIn-barg,52.329315,23 Apr 2018 18:09:43:229  
PT003_CompIn-barg,52.288116,23 Apr 2018 18:09:43:473  
PT003_CompIn-barg,52.251495,23 Apr 2018 18:09:43:717  
PT003_CompIn-barg,52.212585,23 Apr 2018 18:09:43:980  
PT003_CompIn-barg,52.18741,23 Apr 2018 18:09:44:222  
PT003_CompIn-barg,52.16681,23 Apr 2018 18:09:44:470  
PT003_CompIn-barg,52.14621,23 Apr 2018 18:09:44:706  
PT003_CompIn-barg,52.134766,23 Apr 2018 18:09:44:970  
PT003_CompIn-barg,52.12332,23 Apr 2018 18:09:45:219  
PT003_CompIn-barg,52.116455,23 Apr 2018 18:09:45:480  
PT003_CompIn-barg,52.111877,23 Apr 2018 18:09:45:724  
PT003_CompIn-barg,52.10501,23 Apr 2018 18:09:45:967  
PT003_CompIn-barg,52.100433,23 Apr 2018 18:09:46:231  
PT003_CompIn-barg,52.098145,23 Apr 2018 18:09:46:452  
PT003_CompIn-barg,52.093567,23 Apr 2018 18:09:46:699  
PT003_CompIn-barg,52.08441,23 Apr 2018 18:09:46:973  
PT003_CompIn-barg,52.08441,23 Apr 2018 18:09:47:224  
PT003_CompIn-barg,52.075256,23 Apr 2018 18:09:47:466  
PT003_CompIn-barg,52.072968,23 Apr 2018 18:09:47:728  
PT003_CompIn-barg,52.068394,23 Apr 2018 18:09:47:972  
PT003_CompIn-barg,52.066105,23 Apr 2018 18:09:48:217  
PT003_CompIn-barg,52.063816,23 Apr 2018 18:09:48:476  
PT003_CompIn-barg,52.061523,23 Apr 2018 18:09:48:724  
PT003_CompIn-barg,52.059235,23 Apr 2018 18:09:48:970  
PT003_CompIn-barg,52.056946,23 Apr 2018 18:09:49:229  
PT003_CompIn-barg,52.05237,23 Apr 2018 18:09:49:473  
PT003_CompIn-barg,52.04779,23 Apr 2018 18:09:49:722  
PT003_CompIn-barg,52.040924,23 Apr 2018 18:09:49:983  
PT003_CompIn-barg,52.038635,23 Apr 2018 18:09:50:224  
PT003_CompIn-barg,52.036346,23 Apr 2018 18:09:50:464  
PT003_CompIn-barg,52.034058,23 Apr 2018 18:09:50:727  
PT003_CompIn-barg,52.03177,23 Apr 2018 18:09:50:975  
PT003_CompIn-barg,52.02719,23 Apr 2018 18:09:51:220  
PT003_CompIn-barg,52.02719,23 Apr 2018 18:09:51:476  
PT003_CompIn-barg,52.022617,23 Apr 2018 18:09:51:723  
PT003_CompIn-barg,52.015747,23 Apr 2018 18:09:51:968  
PT003_CompIn-barg,52.01346,23 Apr 2018 18:09:52:229  
PT003_CompIn-barg,52.01117,23 Apr 2018 18:09:52:471  
PT003_CompIn-barg,52.00888,23 Apr 2018 18:09:52:718  
PT003_CompIn-barg,52.004303,23 Apr 2018 18:09:52:980  
PT003_CompIn-barg,51.99973,23 Apr 2018 18:09:53:224  
PT003_CompIn-barg,51.99973,23 Apr 2018 18:09:53:468  
PT003_CompIn-barg,51.995148,23 Apr 2018 18:09:53:709  
PT003_CompIn-barg,51.99057,23 Apr 2018 18:09:53:971  
PT003_CompIn-barg,52.533024,23 Apr 2018 18:09:54:215  
PT003_CompIn-barg,52.80081,23 Apr 2018 18:09:54:476  
PT003_CompIn-barg,52.075256,23 Apr 2018 18:09:54:713  
PT003_CompIn-barg,52.35907,23 Apr 2018 18:09:54:971  
PT003_CompIn-barg,52.260654,23 Apr 2018 18:09:55:230  
PT003_CompIn-barg,52.22403,23 Apr 2018 18:09:55:471  
PT003_CompIn-barg,52.198853,23 Apr 2018 18:09:55:718  
PT003_CompIn-barg,52.189697,23 Apr 2018 18:09:55:960  
PT003_CompIn-barg,52.18283,23 Apr 2018 18:09:56:223  
PT003_CompIn-barg,52.180542,23 Apr 2018 18:09:56:469  
PT003_CompIn-barg,52.178253,23 Apr 2018 18:09:56:702  
PT003_CompIn-barg,52.17139,23 Apr 2018 18:09:56:957  
